"item_id","group","att_n","sentence_or_sentence_md5","honorificness_score","notes"
"119_sg",119,"sg","Futbolcunun sürücüsü çok yavaş çalıştılar efendim.",2,NA
"120_pl",120,"pl","Modacıların taksicisi saatlerce durmaksızın içtiler efendim.",2,NA
"120_sg",120,"sg","Modacının taksicisi saatlerce durmaksızın içtiler efendim.",2,NA
"121_pl",121,"pl","Sanatçıların çalgıcısı feci bir şekilde öldüler efendim.",2,NA
"121_sg",121,"sg","Sanatçının çalgıcısı feci bir şekilde öldüler efendim.",2,NA
"122_pl",122,"pl","Dedektiflerin dişçisi ilk kez çılgınca eğlendiler efendim.",1,NA
"122_sg",122,"sg","Dedektifin dişçisi ilk kez çılgınca eğlendiler efendim.",1,NA
"123_pl",123,"pl","Esnafların müşterisi şikayettten hemen sonra sustular efendim.",3,NA
"123_sg",123,"sg","Esnafın müşterisi şikayettten hemen sonra sustular efendim.",3,NA
"124_pl",124,"pl","Şarkıcıların koruması her zamanki gibi geciktiler efendim.",3,NA
"124_sg",124,"sg","Şarkıcının koruması her zamanki gibi geciktiler efendim.",3,NA
"125_pl",125,"pl","Göstericilerin izleyicisi akşama kadar sessizce oturdular efendim.",3,NA
"125_sg",125,"sg","Göstericinin izleyicisi akşama kadar sessizce oturdular efendim.",3,NA
"126_pl",126,"pl","Cerrahların hastası akşamki gösteriden önce kaçtılar efendim.",2,NA
"126_sg",126,"sg","Cerrahın hastası akşamki gösteriden önce kaçtılar efendim.",2,NA
"127_pl",127,"pl","Dalgıçların annesi bile bile geç kaldılar efendim.",4,NA
"127_sg",127,"sg","Dalgıcın annesi bile bile geç kaldılar efendim.",4,NA
"128_pl",128,"pl","Fabrikatörlerin işçisi beklenmedik bir anda hastalandılar efendim.",1,NA
"128_sg",128,"sg","Fabrikatörün işçisi beklenmedik bir anda hastalandılar efendim.",1,NA
"129_pl",129,"pl","Komedyenlerin yardımcısı poyrazdan dolayı üşüdüler efendim.",2,NA
"129_sg",129,"sg","Komedyenin yardımcısı poyrazdan dolayı üşüdüler efendim.",2,NA
"130_pl",130,"pl","Şoförlerin yolcusu yemekten sonra yine acıktılar efendim.",3,NA
"130_sg",130,"sg","Şoförün yolcusu yemekten sonra yine acıktılar efendim.",3,NA
"131_pl",131,"pl","Mühendislerin kapıcısı erken ödemeden dolayı sevindiler efendim.",1,NA
"131_sg",131,"sg","Mühendisin kapıcısı erken ödemeden dolayı sevindiler efendim.",1,NA
"132_pl",132,"pl","Pazarcıların nakliyecisi mesaiden hemen sonra uzandılar efendim.",2,NA
"132_sg",132,"sg","Pazarcının nakliyecisi mesaiden hemen sonra uzandılar efendim.",2,NA
"133_pl",133,"pl","Oyuncuların eğitimcisi ilk denemede epey zorlandılar efendim.",4,NA
"133_sg",133,"sg","Oyuncunun eğitimcisi ilk denemede epey zorlandılar efendim.",4,NA
"134_pl",134,"pl","Mankenlerin modacısı geç bir vakitte kalktılar efendim.",4,NA
"134_sg",134,"sg","Mankenin modacısı geç bir vakitte kalktılar efendim.",4,NA
"135_pl",135,"pl","Konukların teyzesi müthiş bir ağrıyla uyandılar efendim.",3,NA
"135_sg",135,"sg","Konuğun teyzesi müthiş bir ağrıyla uyandılar efendim.",3,NA
"136_pl",136,"pl","Oğlanların amcası boş bir caddede yürüdüler efendim.",3,NA
"136_sg",136,"sg","Oğlanın amcası boş bir caddede yürüdüler efendim.",3,NA
"137_pl",137,"pl","Avukatların komşusu toplantıdan sonra birden sarardılar efendim.",3,NA
"137_sg",137,"sg","Avukatın komşusu toplantıdan sonra birden sarardılar efendim.",3,NA
"138_pl",138,"pl","Ünlülerin falcısı yabancı bir ülkede kayboldular efendim.",2,NA
"138_sg",138,"sg","Ünlünün falcısı yabancı bir ülkede kayboldular efendim.",2,NA
"139_pl",139,"pl","Çiftçilerin bekçisi normalden çok yavaş gezindiler efendim.",2,NA
"139_sg",139,"sg","Çiftçinin bekçisi normalden çok yavaş gezindiler efendim.",2,NA
"140_pl",140,"pl","Kadınların ninesi geçen seneye göre dinçleştiler efendim.",4,NA
"140_sg",140,"sg","Kadının ninesi geçen seneye göre dinçleştiler efendim.",4,NA
